step,mode,cosine_similarity,mae,mse,kl_divergence,baseline_argmax_token,test_argmax_token,argmax_match
15,adaptive_attention_k16,nan,nan,nan,nan,0,0,1
0,adaptive_hybrid_k16,nan,nan,nan,nan,0,0,1
1,adaptive_hybrid_k16,nan,nan,nan,nan,0,0,1
2,adaptive_hybrid_k16,nan,nan,nan,nan,0,0,1
3,adaptive_hybrid_k16,nan,nan,nan,nan,0,0,1
4,adaptive_hybrid_k16,nan,nan,nan,nan,0,0,1
5,adaptive_hybrid_k16,nan,nan,nan,nan,0,0,1
6,adaptive_hybrid_k16,nan,nan,nan,nan,0,0,1
7,adaptive_hybrid_k16,nan,nan,nan,nan,0,0,1
8,adaptive_hybrid_k16,nan,nan,nan,nan,0,0,1
9,adaptive_hybrid_k16,nan,nan,nan,nan,0,0,1
10,adaptive_hybrid_k16,nan,nan,nan,nan,0,0,1
11,adaptive_hybrid_k16,nan,nan,nan,nan,0,0,1
12,adaptive_hybrid_k16,nan,nan,nan,nan,0,0,1
13,adaptive_hybrid_k16,nan,nan,nan,nan,0,0,1
14,adaptive_hybrid_k16,nan,nan,nan,nan,0,0,1
15,adaptive_hybrid_k16,nan,nan,nan,nan,0,0,1
0,baseline,nan,nan,nan,nan,0,0,1
1,baseline,nan,nan,nan,nan,0,0,1
2,baseline,nan,nan,nan,nan,0,0,1
3,baseline,nan,nan,nan,nan,0,0,1
4,baseline,nan,nan,nan,nan,0,0,1
5,baseline,nan,nan,nan,nan,0,0,1
6,baseline,nan,nan,nan,nan,0,0,1
7,baseline,nan,nan,nan,nan,0,0,1
8,baseline,nan,nan,nan,nan,0,0,1
9,baseline,nan,nan,nan,nan,0,0,1
10,baseline,nan,nan,nan,nan,0,0,1
11,baseline,nan,nan,nan,nan,0,0,1
12,baseline,nan,nan,nan,nan,0,0,1
13,baseline,nan,nan,nan,nan,0,0,1
14,baseline,nan,nan,nan,nan,0,0,1
15,baseline,nan,nan,nan,nan,0,0,1
0,int8,nan,nan,nan,nan,0,0,1
1,int8,nan,nan,nan,nan,0,0,1
2,int8,nan,nan,nan,nan,0,0,1
3,int8,nan,nan,nan,nan,0,0,1
4,int8,nan,nan,nan,nan,0,0,1
5,int8,nan,nan,nan,nan,0,0,1
6,int8,nan,nan,nan,nan,0,0,1
7,int8,nan,nan,nan,nan,0,0,1
8,int8,nan,nan,nan,nan,0,0,1
9,int8,nan,nan,nan,nan,0,0,1
10,int8,nan,nan,nan,nan,0,0,1
11,int8,nan,nan,nan,nan,0,0,1
12,int8,nan,nan,nan,nan,0,0,1
13,int8,nan,nan,nan,nan,0,0,1
14,int8,nan,nan,nan,nan,0,0,1
15,int8,nan,nan,nan,nan,0,0,1
0,blocked_int8,nan,nan,nan,nan,0,0,1
1,blocked_int8,nan,nan,nan,nan,0,0,1
2,blocked_int8,nan,nan,nan,nan,0,0,1
3,blocked_int8,nan,nan,nan,nan,0,0,1
4,blocked_int8,nan,nan,nan,nan,0,0,1
5,blocked_int8,nan,nan,nan,nan,0,0,1
6,blocked_int8,nan,nan,nan,nan,0,0,1
7,blocked_int8,nan,nan,nan,nan,0,0,1
8,blocked_int8,nan,nan,nan,nan,0,0,1
9,blocked_int8,nan,nan,nan,nan,0,0,1
10,blocked_int8,nan,nan,nan,nan,0,0,1
11,blocked_int8,nan,nan,nan,nan,0,0,1
12,blocked_int8,nan,nan,nan,nan,0,0,1
13,blocked_int8,nan,nan,nan,nan,0,0,1
14,blocked_int8,nan,nan,nan,nan,0,0,1
15,blocked_int8,nan,nan,nan,nan,0,0,1
0,adaptive_recency_k1,nan,nan,nan,nan,0,0,1
1,adaptive_recency_k1,nan,nan,nan,nan,0,0,1
2,adaptive_recency_k1,nan,nan,nan,nan,0,0,1
3,adaptive_recency_k1,nan,nan,nan,nan,0,0,1
4,adaptive_recency_k1,nan,nan,nan,nan,0,0,1
5,adaptive_recency_k1,nan,nan,nan,nan,0,0,1
6,adaptive_recency_k1,nan,nan,nan,nan,0,0,1
7,adaptive_recency_k1,nan,nan,nan,nan,0,0,1
8,adaptive_recency_k1,nan,nan,nan,nan,0,0,1
9,adaptive_recency_k1,nan,nan,nan,nan,0,0,1
10,adaptive_recency_k1,nan,nan,nan,nan,0,0,1
11,adaptive_recency_k1,nan,nan,nan,nan,0,0,1
12,adaptive_recency_k1,nan,nan,nan,nan,0,0,1
13,adaptive_recency_k1,nan,nan,nan,nan,0,0,1
14,adaptive_recency_k1,nan,nan,nan,nan,0,0,1
15,adaptive_recency_k1,nan,nan,nan,nan,0,0,1
0,adaptive_recency_k16,nan,nan,nan,nan,0,0,1
1,adaptive_recency_k16,nan,nan,nan,nan,0,0,1
2,adaptive_recency_k16,nan,nan,nan,nan,0,0,1
3,adaptive_recency_k16,nan,nan,nan,nan,0,0,1
4,adaptive_recency_k16,nan,nan,nan,nan,0,0,1
5,adaptive_recency_k16,nan,nan,nan,nan,0,0,1
6,adaptive_recency_k16,nan,nan,nan,nan,0,0,1
7,adaptive_recency_k16,nan,nan,nan,nan,0,0,1
8,adaptive_recency_k16,nan,nan,nan,nan,0,0,1
9,adaptive_recency_k16,nan,nan,nan,nan,0,0,1
10,adaptive_recency_k16,nan,nan,nan,nan,0,0,1
11,adaptive_recency_k16,nan,nan,nan,nan,0,0,1
12,adaptive_recency_k16,nan,nan,nan,nan,0,0,1
13,adaptive_recency_k16,nan,nan,nan,nan,0,0,1
14,adaptive_recency_k16,nan,nan,nan,nan,0,0,1
15,adaptive_recency_k16,nan,nan,nan,nan,0,0,1
0,adaptive_recency_k32,nan,nan,nan,nan,0,0,1
1,adaptive_recency_k32,nan,nan,nan,nan,0,0,1
2,adaptive_recency_k32,nan,nan,nan,nan,0,0,1
3,adaptive_recency_k32,nan,nan,nan,nan,0,0,1
4,adaptive_recency_k32,nan,nan,nan,nan,0,0,1
5,adaptive_recency_k32,nan,nan,nan,nan,0,0,1
6,adaptive_recency_k32,nan,nan,nan,nan,0,0,1
7,adaptive_recency_k32,nan,nan,nan,nan,0,0,1
8,adaptive_recency_k32,nan,nan,nan,nan,0,0,1
9,adaptive_recency_k32,nan,nan,nan,nan,0,0,1
10,adaptive_recency_k32,nan,nan,nan,nan,0,0,1
11,adaptive_recency_k32,nan,nan,nan,nan,0,0,1
12,adaptive_recency_k32,nan,nan,nan,nan,0,0,1
13,adaptive_recency_k32,nan,nan,nan,nan,0,0,1
14,adaptive_recency_k32,nan,nan,nan,nan,0,0,1
15,adaptive_recency_k32,nan,nan,nan,nan,0,0,1
0,adaptive_attention_k16,nan,nan,nan,nan,0,0,1
1,adaptive_attention_k16,nan,nan,nan,nan,0,0,1
2,adaptive_attention_k16,nan,nan,nan,nan,0,0,1
3,adaptive_attention_k16,nan,nan,nan,nan,0,0,1
4,adaptive_attention_k16,nan,nan,nan,nan,0,0,1
5,adaptive_attention_k16,nan,nan,nan,nan,0,0,1
6,adaptive_attention_k16,nan,nan,nan,nan,0,0,1
7,adaptive_attention_k16,nan,nan,nan,nan,0,0,1
8,adaptive_attention_k16,nan,nan,nan,nan,0,0,1
9,adaptive_attention_k16,nan,nan,nan,nan,0,0,1
10,adaptive_attention_k16,nan,nan,nan,nan,0,0,1
11,adaptive_attention_k16,nan,nan,nan,nan,0,0,1
12,adaptive_attention_k16,nan,nan,nan,nan,0,0,1
13,adaptive_attention_k16,nan,nan,nan,nan,0,0,1
14,adaptive_attention_k16,nan,nan,nan,nan,0,0,1
15,adaptive_attention_k16,nan,nan,nan,nan,0,0,1
0,adaptive_hybrid_k16,nan,nan,nan,nan,0,0,1
1,adaptive_hybrid_k16,nan,nan,nan,nan,0,0,1
2,adaptive_hybrid_k16,nan,nan,nan,nan,0,0,1
3,adaptive_hybrid_k16,nan,nan,nan,nan,0,0,1
4,adaptive_hybrid_k16,nan,nan,nan,nan,0,0,1
5,adaptive_hybrid_k16,nan,nan,nan,nan,0,0,1
6,adaptive_hybrid_k16,nan,nan,nan,nan,0,0,1
7,adaptive_hybrid_k16,nan,nan,nan,nan,0,0,1
8,adaptive_hybrid_k16,nan,nan,nan,nan,0,0,1
9,adaptive_hybrid_k16,nan,nan,nan,nan,0,0,1
10,adaptive_hybrid_k16,nan,nan,nan,nan,0,0,1
11,adaptive_hybrid_k16,nan,nan,nan,nan,0,0,1
12,adaptive_hybrid_k16,nan,nan,nan,nan,0,0,1
13,adaptive_hybrid_k16,nan,nan,nan,nan,0,0,1
14,adaptive_hybrid_k16,nan,nan,nan,nan,0,0,1
15,adaptive_hybrid_k16,nan,nan,nan,nan,0,0,1
0,baseline,nan,nan,nan,nan,0,0,1
1,baseline,nan,nan,nan,nan,0,0,1
2,baseline,nan,nan,nan,nan,0,0,1
3,baseline,nan,nan,nan,nan,0,0,1
4,baseline,nan,nan,nan,nan,0,0,1
5,baseline,nan,nan,nan,nan,0,0,1
6,baseline,nan,nan,nan,nan,0,0,1
7,baseline,nan,nan,nan,nan,0,0,1
8,baseline,nan,nan,nan,nan,0,0,1
9,baseline,nan,nan,nan,nan,0,0,1
10,baseline,nan,nan,nan,nan,0,0,1
11,baseline,nan,nan,nan,nan,0,0,1
12,baseline,nan,nan,nan,nan,0,0,1
13,baseline,nan,nan,nan,nan,0,0,1
14,baseline,nan,nan,nan,nan,0,0,1
15,baseline,nan,nan,nan,nan,0,0,1
0,int8,nan,nan,nan,nan,0,0,1
1,int8,nan,nan,nan,nan,0,0,1
2,int8,nan,nan,nan,nan,0,0,1
3,int8,nan,nan,nan,nan,0,0,1
4,int8,nan,nan,nan,nan,0,0,1
5,int8,nan,nan,nan,nan,0,0,1
6,int8,nan,nan,nan,nan,0,0,1
7,int8,nan,nan,nan,nan,0,0,1
8,int8,nan,nan,nan,nan,0,0,1
9,int8,nan,nan,nan,nan,0,0,1
10,int8,nan,nan,nan,nan,0,0,1
11,int8,nan,nan,nan,nan,0,0,1
12,int8,nan,nan,nan,nan,0,0,1
13,int8,nan,nan,nan,nan,0,0,1
14,int8,nan,nan,nan,nan,0,0,1
15,int8,nan,nan,nan,nan,0,0,1
0,blocked_int8,nan,nan,nan,nan,0,0,1
1,blocked_int8,nan,nan,nan,nan,0,0,1
2,blocked_int8,nan,nan,nan,nan,0,0,1
3,blocked_int8,nan,nan,nan,nan,0,0,1
4,blocked_int8,nan,nan,nan,nan,0,0,1
5,blocked_int8,nan,nan,nan,nan,0,0,1
6,blocked_int8,nan,nan,nan,nan,0,0,1
7,blocked_int8,nan,nan,nan,nan,0,0,1
8,blocked_int8,nan,nan,nan,nan,0,0,1
9,blocked_int8,nan,nan,nan,nan,0,0,1
10,blocked_int8,nan,nan,nan,nan,0,0,1
11,blocked_int8,nan,nan,nan,nan,0,0,1
12,blocked_int8,nan,nan,nan,nan,0,0,1
13,blocked_int8,nan,nan,nan,nan,0,0,1
14,blocked_int8,nan,nan,nan,nan,0,0,1
15,blocked_int8,nan,nan,nan,nan,0,0,1
0,adaptive_recency_k1,nan,nan,nan,nan,0,0,1
1,adaptive_recency_k1,nan,nan,nan,nan,0,0,1
2,adaptive_recency_k1,nan,nan,nan,nan,0,0,1
3,adaptive_recency_k1,nan,nan,nan,nan,0,0,1
4,adaptive_recency_k1,nan,nan,nan,nan,0,0,1
5,adaptive_recency_k1,nan,nan,nan,nan,0,0,1
6,adaptive_recency_k1,nan,nan,nan,nan,0,0,1
7,adaptive_recency_k1,nan,nan,nan,nan,0,0,1
8,adaptive_recency_k1,nan,nan,nan,nan,0,0,1
9,adaptive_recency_k1,nan,nan,nan,nan,0,0,1
10,adaptive_recency_k1,nan,nan,nan,nan,0,0,1
11,adaptive_recency_k1,nan,nan,nan,nan,0,0,1
12,adaptive_recency_k1,nan,nan,nan,nan,0,0,1
13,adaptive_recency_k1,nan,nan,nan,nan,0,0,1
14,adaptive_recency_k1,nan,nan,nan,nan,0,0,1
15,adaptive_recency_k1,nan,nan,nan,nan,0,0,1
0,adaptive_recency_k16,nan,nan,nan,nan,0,0,1
1,adaptive_recency_k16,nan,nan,nan,nan,0,0,1
2,adaptive_recency_k16,nan,nan,nan,nan,0,0,1
3,adaptive_recency_k16,nan,nan,nan,nan,0,0,1
4,adaptive_recency_k16,nan,nan,nan,nan,0,0,1
5,adaptive_recency_k16,nan,nan,nan,nan,0,0,1
6,adaptive_recency_k16,nan,nan,nan,nan,0,0,1
7,adaptive_recency_k16,nan,nan,nan,nan,0,0,1
8,adaptive_recency_k16,nan,nan,nan,nan,0,0,1
9,adaptive_recency_k16,nan,nan,nan,nan,0,0,1
10,adaptive_recency_k16,nan,nan,nan,nan,0,0,1
11,adaptive_recency_k16,nan,nan,nan,nan,0,0,1
12,adaptive_recency_k16,nan,nan,nan,nan,0,0,1
13,adaptive_recency_k16,nan,nan,nan,nan,0,0,1
14,adaptive_recency_k16,nan,nan,nan,nan,0,0,1
15,adaptive_recency_k16,nan,nan,nan,nan,0,0,1
0,adaptive_recency_k32,nan,nan,nan,nan,0,0,1
1,adaptive_recency_k32,nan,nan,nan,nan,0,0,1
2,adaptive_recency_k32,nan,nan,nan,nan,0,0,1
3,adaptive_recency_k32,nan,nan,nan,nan,0,0,1
4,adaptive_recency_k32,nan,nan,nan,nan,0,0,1
5,adaptive_recency_k32,nan,nan,nan,nan,0,0,1
6,adaptive_recency_k32,nan,nan,nan,nan,0,0,1
7,adaptive_recency_k32,nan,nan,nan,nan,0,0,1
8,adaptive_recency_k32,nan,nan,nan,nan,0,0,1
9,adaptive_recency_k32,nan,nan,nan,nan,0,0,1
10,adaptive_recency_k32,nan,nan,nan,nan,0,0,1
11,adaptive_recency_k32,nan,nan,nan,nan,0,0,1
12,adaptive_recency_k32,nan,nan,nan,nan,0,0,1
13,adaptive_recency_k32,nan,nan,nan,nan,0,0,1
14,adaptive_recency_k32,nan,nan,nan,nan,0,0,1
15,adaptive_recency_k32,nan,nan,nan,nan,0,0,1
0,adaptive_attention_k16,nan,nan,nan,nan,0,0,1
1,adaptive_attention_k16,nan,nan,nan,nan,0,0,1
2,adaptive_attention_k16,nan,nan,nan,nan,0,0,1
3,adaptive_attention_k16,nan,nan,nan,nan,0,0,1
4,adaptive_attention_k16,nan,nan,nan,nan,0,0,1
5,adaptive_attention_k16,nan,nan,nan,nan,0,0,1
6,adaptive_attention_k16,nan,nan,nan,nan,0,0,1
7,adaptive_attention_k16,nan,nan,nan,nan,0,0,1
8,adaptive_attention_k16,nan,nan,nan,nan,0,0,1
9,adaptive_attention_k16,nan,nan,nan,nan,0,0,1
10,adaptive_attention_k16,nan,nan,nan,nan,0,0,1
11,adaptive_attention_k16,nan,nan,nan,nan,0,0,1
12,adaptive_attention_k16,nan,nan,nan,nan,0,0,1
13,adaptive_attention_k16,nan,nan,nan,nan,0,0,1
14,adaptive_attention_k16,nan,nan,nan,nan,0,0,1
15,adaptive_attention_k16,nan,nan,nan,nan,0,0,1
0,adaptive_hybrid_k16,nan,nan,nan,nan,0,0,1
1,adaptive_hybrid_k16,nan,nan,nan,nan,0,0,1
2,adaptive_hybrid_k16,nan,nan,nan,nan,0,0,1
3,adaptive_hybrid_k16,nan,nan,nan,nan,0,0,1
4,adaptive_hybrid_k16,nan,nan,nan,nan,0,0,1
5,adaptive_hybrid_k16,nan,nan,nan,nan,0,0,1
6,adaptive_hybrid_k16,nan,nan,nan,nan,0,0,1
7,adaptive_hybrid_k16,nan,nan,nan,nan,0,0,1
8,adaptive_hybrid_k16,nan,nan,nan,nan,0,0,1
9,adaptive_hybrid_k16,nan,nan,nan,nan,0,0,1
10,adaptive_hybrid_k16,nan,nan,nan,nan,0,0,1
11,adaptive_hybrid_k16,nan,nan,nan,nan,0,0,1
12,adaptive_hybrid_k16,nan,nan,nan,nan,0,0,1
13,adaptive_hybrid_k16,nan,nan,nan,nan,0,0,1
14,adaptive_hybrid_k16,nan,nan,nan,nan,0,0,1
15,adaptive_hybrid_k16,nan,nan,nan,nan,0,0,1
